,name,country,id,height,ranking_B,events_B,rounds_B,semis_B,finals_B,gold_B,silver_B,bronze_B,tops,zones,top_attempts,zone_attempts,boulders_attempted,top_percentage,ranking_per_event_B
159,Allison Vest,CAN,1579,171.0,685.16,16,17,1,0,0,0,0,24,58,84,169,84,0.2857142857142857,42.8225
160,Anna Vollenwyder,AUT,6238,,684.0,10,11,1,0,0,0,0,21,39,53,83,54,0.3888888888888889,68.4
161,Gill Peet,GBR,6075,,680.0,9,11,2,0,0,0,0,16,29,43,59,53,0.3018867924528302,75.55555555555556
162,Camille Faille,FRA,471,,663.0,10,12,2,0,0,0,0,21,42,45,76,58,0.3620689655172414,66.3
163,Sienna Kopf,USA,1870,174.0,660.5,11,12,1,0,0,0,0,24,41,59,108,59,0.4067796610169492,60.04545454545455
164,Johanna Holfeld,GER,3109,,660.0,10,11,1,0,0,0,0,18,42,37,101,54,0.3333333333333333,66.0
165,Maja Stremfelj,SLO,1121,,644.33,4,6,2,0,0,0,0,14,21,34,36,28,0.5,161.0825
166,Minseon Kim,KOR,2055,,637.5,5,7,2,0,0,0,0,8,18,18,41,33,0.24242424242424243,127.5
167,Kseniia Alekseeva,RUS,4735,,624.5,5,6,1,0,0,0,0,16,27,25,41,29,0.5517241379310345,124.9
168,Rebecca Frangos,CAN,1577,,608.25,11,11,0,0,0,0,0,2,22,8,63,55,0.03636363636363636,55.29545454545455
169,Hannah Slaney,GBR,669,,580.0,10,11,1,0,0,0,0,18,40,56,90,54,0.3333333333333333,58.0
170,Serika Okawachi,JPN,2349,158.0,576.5,4,6,1,1,0,0,0,12,20,28,43,28,0.42857142857142855,144.125
171,Vanda Michalkova,SVK,2771,,559.0,8,9,1,0,0,0,0,8,23,15,37,44,0.18181818181818182,69.875
172,Holly Reid,CAN,4837,,558.65,9,9,0,0,0,0,0,2,13,7,24,45,0.044444444444444446,62.07222222222222
173,Tara Hayes,GBR,643,,557.16,13,14,1,0,0,0,0,21,45,61,103,69,0.30434782608695654,42.85846153846153
174,Charlotte Andre,FRA,526,,557.0,6,7,1,0,0,0,0,13,28,26,57,34,0.38235294117647056,92.83333333333333
175,Luce Douady,FRA,11620,,545.0,1,3,1,1,0,0,0,8,13,16,18,13,0.6153846153846154,545.0
176,Madison Fischer,CAN,1629,,544.5,9,10,1,0,0,0,0,14,33,42,76,49,0.2857142857142857,60.5
177,Franziska Saurwein,AUT,5851,,540.0,4,6,2,0,0,0,0,12,22,17,35,28,0.42857142857142855,135.0
178,Xuhua Pan,CHN,2933,,537.0,6,7,1,0,0,0,0,5,16,12,31,34,0.14705882352941177,89.5
179,Lisa Rands,USA,5129,,535.0,2,4,2,0,0,0,0,3,13,4,20,18,0.16666666666666666,267.5
180,Tjasa Slemensek,SLO,1148,168.0,531.0,7,9,2,0,0,0,0,20,32,42,74,43,0.46511627906976744,75.85714285714286
181,Miwa Oba,JPN,2281,,529.37,11,12,1,0,0,0,0,14,40,36,97,59,0.23728813559322035,48.124545454545455
182,Atori Yasuda,JPN,6050,,529.0,7,8,1,0,0,0,0,11,30,26,66,39,0.28205128205128205,75.57142857142857
183,Yuki Matsushima,JPN,6076,,526.66,9,10,1,0,0,0,0,2,17,4,41,49,0.04081632653061224,58.51777777777777
184,Courtney Sanders,USA,6057,,518.5,6,7,1,0,0,0,0,7,20,11,43,34,0.20588235294117646,86.41666666666667
185,Grace Mckeehan,USA,1752,,514.0,7,8,1,0,0,0,0,12,26,25,58,39,0.3076923076923077,73.42857142857143
186,Eliska Adamovska,CZE,1400,162.0,513.5,5,6,1,0,0,0,0,10,22,25,52,29,0.3448275862068966,102.7
187,Andrea Rojas,ECU,3209,,508.5,6,6,0,0,0,0,0,1,9,4,23,30,0.03333333333333333,84.75
188,Sunniva Øvre-Eide,NOR,3098,,504.33,3,3,0,0,0,0,0,2,4,10,18,15,0.13333333333333333,168.10999999999999
189,Di Niu,CHN,2941,,492.83,7,9,2,0,0,0,0,10,31,29,69,43,0.23255813953488372,70.4042857142857
190,Tiffany Melius,AUS,2503,,479.0,8,9,1,0,0,0,0,5,23,13,66,44,0.11363636363636363,59.875
191,Chauncenia Cox,USA,4832,,478.0,3,5,2,0,0,0,0,6,17,13,35,23,0.2608695652173913,159.33333333333334
192,Mélanie Son,FRA,5044,,472.15999999999997,4,5,1,0,0,0,0,13,19,25,23,24,0.5416666666666666,118.03999999999999
193,Eliška Bulenová,CZE,1439,,467.66,3,4,1,0,0,0,0,6,12,25,46,19,0.3157894736842105,155.88666666666668
194,Margaux Pucheux,FRA,481,,463.0,5,6,1,0,0,0,0,5,13,10,26,29,0.1724137931034483,92.6
195,Seunghyun Kim,KOR,2051,,463.0,6,7,1,0,0,0,0,6,18,26,56,34,0.17647058823529413,77.16666666666667
196,Karolina Nevelikova,CZE,6048,,462.25,7,8,1,0,0,0,0,10,17,14,25,39,0.2564102564102564,66.03571428571429
197,Wangmu Renzeng,CHN,2940,,458.5,5,7,2,0,0,0,0,2,9,7,24,33,0.06060606060606061,91.7
198,Puntarika Tunyavanich,THA,3925,,457.5,9,10,1,0,0,0,0,9,26,13,52,49,0.1836734693877551,50.833333333333336
199,Annalisa De Marco,ITA,862,,451.49,11,12,1,0,0,0,0,21,35,60,79,59,0.3559322033898305,41.04454545454546
200,Olga Bezhko,UKR,5493,,447.15999999999997,3,4,1,0,0,0,0,13,16,17,21,19,0.6842105263157895,149.0533333333333
201,Chelsea Rude,USA,5249,,445.0,2,4,2,0,0,0,0,4,12,6,21,18,0.2222222222222222,222.5
202,Valentina Aguado,ARG,3161,,440.25,15,15,0,0,0,0,0,20,42,42,102,75,0.26666666666666666,29.35
203,Vanessa Si Yinn Teng,SGP,3632,169.0,437.5,8,9,1,0,0,0,0,14,29,23,76,44,0.3181818181818182,54.6875
204,Michaela Kiersch,USA,1718,,427.5,3,4,1,0,0,0,0,3,10,6,25,19,0.15789473684210525,142.5
205,Andrea Brigitta Szekely,HUN,5012,,422.0,4,5,1,0,0,0,0,5,15,9,46,24,0.20833333333333334,105.5
206,Mattea Pötzi,AUT,1266,160.0,421.5,5,6,1,0,0,0,0,8,18,30,59,29,0.27586206896551724,84.3
207,Alexandra Ladurner,ITA,853,,406.0,5,6,1,0,0,0,0,9,22,25,46,29,0.3103448275862069,81.2
208,Victoria Weldon,CAN,5875,,405.5,3,4,1,0,0,0,0,3,12,6,23,19,0.15789473684210525,135.16666666666666
209,Cicada Jenerik,USA,1717,,405.0,2,3,1,0,0,0,0,4,8,6,12,14,0.2857142857142857,202.5
210,Anne-Sophie Koller,SUI,3426,160.0,397.33,11,12,1,0,0,0,0,13,40,42,117,59,0.22033898305084745,36.12090909090909
211,Tyler Youngwerth,USA,6006,,395.5,3,4,1,0,0,0,0,4,8,5,12,19,0.21052631578947367,131.83333333333334
212,Emma Horan,AUS,2486,181.0,392.5,8,8,0,0,0,0,0,3,20,4,59,40,0.075,49.0625
213,Helena Lipenska,CZE,1358,,390.0,2,4,2,0,0,0,0,7,11,10,16,18,0.3888888888888889,195.0
214,Claire Kassay,AUS,2494,,385.5,13,13,0,0,0,0,0,6,27,14,55,65,0.09230769230769231,29.653846153846153
215,Evgeniya Lapshina,RUS,99,,382.83000000000004,5,6,1,0,0,0,0,11,24,16,44,29,0.3793103448275862,76.566
216,Dana Riddle,USA,6067,,380.0,1,2,1,0,0,0,0,5,8,8,14,9,0.5555555555555556,380.0
217,Natsuki Tanii,JPN,2381,152.0,375.0,2,4,2,0,0,0,0,8,11,35,39,18,0.4444444444444444,187.5
218,Molly Thompson-Smith,GBR,642,159.0,374.5,9,10,1,0,0,0,0,7,30,21,69,49,0.14285714285714285,41.611111111111114
219,Agata Modrzejewska,POL,4923,,373.0,5,6,1,0,0,0,0,7,16,14,31,29,0.2413793103448276,74.6
